#                                                                                              <these with min burst 1> 	<  these with min 64       >
0.05  cl0  0.839  0.839  0.174  0.001  0.173  cl1  0.940  0.094  0.094  0.001  0.093  968.067  1.35     1     17     28 	62.26     65     66   >1000
0.10  cl0  0.802  0.802  0.173  0.001  0.172  cl1  0.890  0.089  0.097  0.002  0.095  538.772  2.06     1     37     48 	-2.66     65     66     67 
0.15  cl0  0.766  0.766  0.173  0.002  0.171  cl1  0.851  0.085  0.098  0.002  0.096  396.743  3.41     4     57     68 	59.39     65     66     69 
0.20  cl0  0.716  0.716  0.171  0.002  0.169  cl1  0.791  0.079  0.099  0.003  0.096  325.556  5.27     10     73     84 	-3.39     65     73     84 
0.25  cl0  0.677  0.677  0.170  0.003  0.167  cl1  0.733  0.073  0.101  0.004  0.097  281.626  7.29     17     87     97  	57.93     65     87     98 
0.30  cl0  0.630  0.630  0.168  0.003  0.166  cl1  0.690  0.069  0.102  0.004  0.098  252.685  9.81     28     99     110 	-5.17     65     99     110 
0.35  cl0  0.589  0.589  0.167  0.003  0.164  cl1  0.626  0.063  0.104  0.005  0.099  236.252  12.29     40     110     121 	57.58     66     110    120 
0.40  cl0  0.541  0.541  0.165  0.003  0.162  cl1  0.582  0.058  0.106  0.005  0.102  219.588  15.15     52     119     130  	-5.84     66     120    130 
0.45  cl0  0.493  0.493  0.163  0.003  0.160  cl1  0.527  0.053  0.108  0.004  0.103  209.130  18.10     61     128     138  	57.52     73     128    138 
0.50  cl0  0.441  0.441  0.160  0.003  0.157  cl1  0.462  0.046  0.111  0.005  0.106  200.662  21.10     71     136     147 	-5.91     85     137    146 
0.55  cl0  0.410  0.410  0.158  0.003  0.155  cl1  0.429  0.043  0.112  0.005  0.107  195.101  25.05     84     143     152 	59.19     95     144    153 
0.60  cl0  0.345  0.345  0.155  0.003  0.151  cl1  0.358  0.036  0.115  0.005  0.110  189.825  27.70     90     150     160  	-4.07     101    150    160 
0.65  cl0  0.302  0.302  0.151  0.003  0.148  cl1  0.302  0.030  0.118  0.004  0.114  184.870  32.24     95     156     164  	60.14     103    155    165 
0.70  cl0  0.275  0.275  0.148  0.003  0.146  cl1  0.284  0.028  0.120  0.004  0.115  181.244  36.27     100     161     171 	-1.85     106    161    170 
0.75  cl0  0.228  0.228  0.144  0.003  0.141  cl1  0.232  0.023  0.123  0.004  0.119  177.780  39.79     96     165     175 	61.99     103    165    175 
0.80  cl0  0.179  0.179  0.138  0.003  0.135  cl1  0.179  0.018  0.127  0.004  0.123  177.165  44.74     97     169     179 	1.57      103    169    179 
0.85  cl0  0.140  0.140  0.129  0.002  0.127  cl1  0.139  0.014  0.131  0.004  0.128  177.296  xxxxx     99     172     182 	65.60     102    173    182 
0.90  cl0  0.096  0.096  0.122  0.002  0.119  cl1  0.093  0.009  0.137  0.003  0.134  176.878  1.73     104     174     185  	5.96      101    175    186 
0.95  cl0  0.045  0.045  0.097  0.004  0.094  cl1  0.040  0.004  0.148  0.004  0.144  209.108  70.52     114     174     186 	80.63     120    174    189 
